algorithm,algorithm_config,algo_level,algo_bilnmcs_b,algo_bilnmcs_r,algo_bilnmcs_e,ensemble_size,depth,timeout_sec,n_trials,mean_validated_score,std_validated_score,mean_raw_search_score,mean_elapsed_sec,mean_returned_size,mean_total_simulated_trajectories,best_validated_score,best_mutation_set,best_trial,algo_lnmcs_b,algo_lnmcs_r,algo_lnmcs_e
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,6,10.0,10,0.5899777777777777,0.1163578112844754,0.5782999999999999,10.76620649580001,5.8,27800.0,0.7757777777777779,"[('DKK1', True), ('DNAdamage', False), ('ECMicroenv', True), ('SNAI1', True), ('SNAI2', True), ('TWIST1', True)]",3,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,6,20.0,10,0.6021444444444445,0.09322117665947893,0.6109666666666667,20.361444379000023,5.7,96000.0,0.7348888888888889,"[('AKT2', True), ('CTNNB1', True), ('Migration', False), ('SNAI1', True), ('SNAI2', True), ('p63', False)]",9,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,6,30.0,10,0.7177888888888889,0.06476574025757068,0.7332333333333333,30.41425884160035,6.0,164900.0,0.8022222222222223,"[('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('ECMicroenv', True), ('SNAI1', True), ('SNAI2', True)]",0,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,8,10.0,10,0.6412888888888888,0.11390756703204793,0.6722666666666666,10.191062520799983,7.2,55775.0,0.7674444444444445,"[('CDH1', False), ('CTNNB1', True), ('Metastasis', True), ('Migration', False), ('NICD', True), ('TGFbeta', True), ('p21', True), ('p53', False)]",0,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,8,20.0,10,0.6974666666666668,0.037563536298640246,0.6923333333333334,20.132347808300075,7.3,96650.0,0.7558888888888889,"[('CDH2', True), ('DKK1', False), ('SMAD', True), ('SNAI1', True), ('SNAI2', True), ('p63', False)]",6,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,8,30.0,10,0.6160444444444444,0.09508064413375046,0.6466333333333332,30.3247113292,7.6,159275.0,0.7518888888888889,"[('CTNNB1', True), ('ECMicroenv', True), ('GF', True), ('Migration', False), ('NICD', True), ('TWIST1', True), ('VIM', True)]",4,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,9,10.0,10,0.6557777777777778,0.07964622393845375,0.6737333333333333,10.349266720999982,8.1,52000.0,0.761,"[('CTNNB1', True), ('DKK1', False), ('DNAdamage', True), ('NICD', True), ('SNAI2', True), ('TGFbeta', True), ('TWIST1', True), ('VIM', True)]",8,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,9,20.0,10,0.6292222222222221,0.10873406226337863,0.6524333333333334,20.23466169580006,8.5,105775.0,0.7941111111111111,"[('CDH1', False), ('CTNNB1', True), ('ECMicroenv', True), ('GF', False), ('NICD', True), ('SNAI1', True), ('TWIST1', True), ('VIM', False), ('ZEB2', True)]",7,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,9,30.0,10,0.6456444444444445,0.1179198912005126,0.6741666666666666,30.344714849900082,8.8,159900.0,0.7925555555555556,"[('AKT1', True), ('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('ERK', True), ('NICD', True), ('ZEB2', True), ('miR203', False), ('p21', True)]",6,,,
BILNMCS,"{'algorithm': 'BILNMCS', 'level': 2, 'bilnmcs_b': 3, 'bilnmcs_r': 0.4, 'bilnmcs_e': 10}",2,3.0,0.4,10.0,1000,10,10.0,10,0.5493333333333335,0.09054494825400804,0.5613333333333334,10.268069412599994,9.2,55725.0,0.677888888888889,"[('AKT2', True), ('CDH1', False), ('CTNNB1', True), ('TWIST1', True), ('VIM', True), ('ZEB1', True), ('miR203', True), ('miR34', False), ('p21', True), ('p73', False)]",8,,,
