algorithm,ensemble_size,depth,timeout_sec,n_trials,mean_validated_score,std_validated_score,mean_raw_search_score,mean_elapsed_sec,mean_returned_size,mean_main_queries,mean_main_cache_misses,mean_fast_queries,mean_fast_cache_misses,mean_total_simulated_trajectories,best_validated_score,best_mutation_set,best_trial
BILNMCS,200,7,5.0,10,0.5922435897435896,0.07072091090094058,0.5931846153846154,5.248160525120329,6.6,12.3,12.3,22.3,22.3,37555.0,0.7391025641025641,"[('CDH2', True), ('DKK1', False), ('SMAD', True), ('TGFbeta', True), ('TWIST1', True), ('miR200', False)]",8
BILNMCS,200,7,20.0,10,0.6432564102564102,0.09069412726620488,0.6544615384615384,20.597066720901058,6.6,14.9,14.9,28.0,28.0,45740.0,0.7832051282051283,"[('CDH1', False), ('CDH2', True), ('SMAD', True), ('SNAI2', True), ('miR200', False), ('miR203', True), ('p21', True)]",2
BILNMCS,200,7,60.0,10,0.7379487179487179,0.07860314856187109,0.7469538461538462,60.36615999591304,7.0,112.3,112.2,123.2,122.8,322420.0,0.8365384615384616,"[('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('NICD', True), ('SNAI2', True), ('TGFbeta', True), ('miR200', False)]",9
BILNMCS,500,7,5.0,10,0.56304,0.0605768947518588,0.54484,5.213826487574261,6.5,12.3,12.3,23.9,23.9,36725.0,0.6486666666666667,"[('CDH1', False), ('ECMicroenv', True), ('ERK', True), ('GF', False), ('TWIST1', True), ('miR200', False), ('miR203', False)]",1
BILNMCS,500,7,20.0,10,0.6034400000000002,0.07135261546245755,0.60432,20.58398603759706,6.8,15.9,15.9,26.0,26.0,46250.0,0.7063999999999999,"[('AKT2', True), ('CDH2', True), ('DNAdamage', False), ('GF', True), ('SNAI1', True), ('ZEB2', True), ('p21', True)]",8
BILNMCS,500,7,60.0,10,0.6884,0.13173650468517326,0.74028,60.42825364980381,7.0,124.8,124.1,137.8,137.2,344550.0,0.8368000000000001,"[('CDH1', False), ('CTNNB1', True), ('DKK1', True), ('Metastasis', False), ('NICD', True), ('SMAD', True), ('TWIST1', True)]",6
BILNMCS,1000,7,5.0,10,0.47745555555555547,0.08610812109504261,0.4856,5.75314859180944,6.8,3.0,3.0,14.6,14.6,12650.0,0.6327777777777779,"[('AKT2', True), ('CTNNB1', True), ('ECMicroenv', True), ('Metastasis', False), ('NICD', True), ('miR200', False), ('p53', True)]",6
BILNMCS,1000,7,20.0,10,0.6433444444444445,0.07373063168983912,0.6512,20.808605646109207,6.6,14.0,14.0,28.8,28.8,49200.0,0.7692222222222221,"[('CTNNB1', True), ('DKK1', True), ('ECMicroenv', True), ('NICD', True), ('SMAD', True), ('SNAI2', True), ('TGFbeta', True)]",1
BILNMCS,1000,7,60.0,10,0.7372555555555556,0.07697014091576411,0.7442333333333334,60.35829199989094,6.9,81.7,81.2,93.0,92.7,266775.0,0.8797777777777777,"[('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', True), ('Migration', True), ('NICD', True), ('SNAI1', True), ('SNAI2', True)]",8
LNMCS,200,7,5.0,10,0.5267948717948718,0.1677008642841676,0.5290384615384615,5.200563658424653,6.9,13.3,13.3,0.0,0.0,34580.0,0.7258974358974358,"[('CTNNB1', True), ('DKK1', False), ('DNAdamage', True), ('NICD', True), ('TWIST1', True), ('VIM', True), ('ZEB1', True)]",6
LNMCS,200,7,20.0,10,0.5283974358974358,0.07606064075238506,0.5293076923076923,20.814463724917733,6.7,18.4,18.4,0.0,0.0,47840.0,0.6910256410256411,"[('CDH2', True), ('ERK', True), ('Migration', True), ('SNAI1', True), ('TGFbeta', True), ('VIM', True), ('miR200', False)]",2
